q(nm^-1),Intensity
0.00349,92458.01768
0.0035,91756.43087
0.00351,96035.36817
0.00352,89088.42122
0.00353,91473.93408
0.00354,92521.43891
0.00355,89944.45981
0.00356,86340.43408
0.00357,90993.86495
0.00358,89280.54662
0.00359,88161.27492
0.0036,87269.25884
0.00361,89324.75884
0.00362,85246.23633
0.00363,86483.56592
0.00364,87024.11415
0.00365,86605.62058
0.00366,87255.3955
0.00367,83894.86656
0.00368,83619.50643
0.00369,84605.05788
0.0037,84489.91801
0.00371,86077.17042
0.00372,84554.43087
0.00373,82651.39068
0.00374,82391.32958
0.00375,81495.17685
0.00376,81250.57235
0.00377,82246.21222
0.00378,80315.61576
0.00379,79881.61093
0.0038,80096.99678
0.00381,80945.87621
0.00382,80133.60932
0.00383,78399.08199
0.00384,78281.35209
0.00385,78170.07556
0.00386,75700.08682
0.00387,78230.61576
0.00388,76614.9791
0.00389,77794.209
0.0039,76147.76688
0.00391,76098.32637
0.00392,75862.209
0.00393,75352.50482
0.00394,74746.33762
0.00395,74595.15113
0.00396,75276.98553
0.00397,73382.32958
0.00398,73586.18167
0.00399,72941.63505
0.004,73389.30707
0.00401,74101.32637
0.00402,71791.8746
0.00403,71350.92926
0.00404,73240.49196
0.00405,71353.70096
0.00406,70733.92122
0.00407,69857.31511
0.00408,69119.63344
0.00409,68729.90354
0.0041,68038.58521
0.00411,68297.82958
0.00412,68227.25723
0.00413,67454.93248
0.00414,66609.17685
0.00415,66682.01929
0.00416,66907.47588
0.00417,67760.28135
0.00418,65268.9582
0.00419,64094.50965
0.0042,65849.57878
0.00421,64401.1254
0.00422,64381.72026
0.00423,63636.96945
0.00424,63542.1463
0.00425,62650.11576
0.00426,62736.59646
0.00427,62188.21865
0.00428,62271.41479
0.00429,61146.70418
0.0043,61695.5209
0.00431,62178.24116
0.00432,60995.63505
0.00433,59481.4164
0.00434,59469.45338
0.00435,58730.36334
0.00436,59037.80707
0.00437,58726.40997
0.00438,59656.67685
0.00439,57637.42122
0.0044,58440.51447
0.00441,57536.57395
0.00442,57911.49839
0.00443,56117.57878
0.00444,56728.74277
0.00445,56090.90354
