qnm,output_norm
0.00356,16206.1922
0.00357,15834.00538
0.00358,14163.97849
0.00359,15054.43548
0.0036,14335.19489
0.00361,14883.06452
0.00362,15051.52419
0.00363,14406.04301
0.00364,14241.10887
0.00365,15641.31989
0.00366,14913.69624
0.00367,14618.18145
0.00368,13861.06452
0.00369,15642.92204
0.0037,14138.94489
0.00371,14067.10618
0.00372,14402.44086
0.00373,13889.08333
0.00374,13330.64503
0.00375,14195.61559
0.00376,12679.21116
0.00377,13819.12366
0.00378,13106.33172
0.00379,13108.74113
0.0038,12232.30255
0.00381,13701.27688
0.00382,13256.35363
0.00383,13179.21142
0.00384,13694.48387
0.00385,13353.74315
0.00386,12357.27124
0.00387,12513.44086
0.00388,12400.43804
0.00389,12638.44073
0.0039,11723.41707
0.00391,12182.45968
0.00392,12787.46075
0.00393,11843.15094
0.00394,11970.8547
0.00395,12295.55766
0.00396,11654.30134
0.00397,11255.68683
0.00398,11794.83481
0.00399,11740.39946
0.004,11152.81223
0.00401,11759.67715
0.00402,12164.90551
0.00403,11993.0875
0.00404,11610.12218
0.00405,11636.27876
0.00406,12669.52849
0.00407,12143.61371
0.00408,11316.20833
0.00409,12039.65054
0.0041,11468.29825
0.00411,10651.09086
0.00412,10897.27917
0.00413,10905.51559
0.00414,11223.86478
0.00415,11119.04758
0.00416,11045.28535
0.00417,11866.35914
0.00418,10975.32379
0.00419,10654.69973
0.0042,11953.4047
0.00421,11043.5871
0.00422,10401.05753
0.00423,10536.32352
0.00424,10413.04798
0.00425,10386.54046
0.00426,10604.54005
0.00427,10329.95161
0.00428,10327.75054
0.00429,10405.81075
0.0043,10309.45968
0.00431,10317.81102
0.00432,9547.117473
0.00433,9488.709946
0.00434,10214.76747
0.00435,9831.797312
0.00436,9090.341532
0.00437,9112.088575
0.00438,9533.633199
0.00439,9872.493145
0.0044,8842.899731
0.00441,9678.809812
0.00442,9013.879435
0.00443,9393.860215
0.00444,9134.557527
0.00445,9082.565323
0.00446,9208.450269
0.00447,8839.914516
0.00448,8885.368414
0.00449,9251.791801
0.0045,8704.300806
0.00451,9021.630242
0.00452,8540.971774
0.00453,8667.387634
0.00454,8869.746237
0.00455,8466.112634
0.00456,8277.602688
0.00457,8922.436559
0.00458,8370.750134
0.00459,7839.20457
0.0046,8739.464919
0.00461,8413.138441
0.00462,8052.950672
0.00463,8597.19879
0.00464,7631.865457
0.00465,7956.405108
0.00466,7895.758871
0.00467,7830.535753
0.00468,7912.593548
0.00469,7950.268817
0.0047,7777.569624
0.00471,7565.283871
0.00472,7616.743683
0.00473,7465.475806
0.00474,6896.098925
0.00475,7347.670565
0.00476,7503.360215
0.00477,7350.628763
0.00478,7482.399059
0.00479,7025.963575
0.0048,7317.652554
0.00481,7109.181452
0.00482,7181.310349
0.00483,6825.414247
0.00484,6949.216801
0.00485,7114.890323
0.00486,6554.202419
0.00487,6826.188306
0.00488,6899.001478
0.00489,7143.817204
0.0049,6318.884409
0.00491,7275.256048
0.00492,6735.215188
0.00493,6836.917473
0.00494,6175.702016
0.00495,6488.643817
0.00496,6231.518817
0.00497,6283.733871
0.00498,6553.587903
0.00499,6438.516532
0.005,6127.112231
0.00501,6036.439651
0.00502,5736.673387
0.00503,6602.822581
0.00504,6255.645296
0.00505,5775.187097
0.00506,6246.41586
0.00507,5989.805242
0.00508,6039.883602
0.00509,6085.109543
0.0051,5863.028091
0.00511,5478.785081
0.00512,5783.154032
0.00513,5788.149328
0.00514,5818.117204
0.00515,5520.033468
0.00516,5512.334005
0.00517,5501.792204
0.00518,5899.010081
0.00519,5372.823925
0.0052,5143.582392
0.00521,5254.87836
0.00522,5256.687634
0.00523,5238.978495
0.00524,5428.667339
0.00525,5344.422043
0.00526,5190.591263
0.00527,5453.35672
0.00528,5197.692742
0.00529,4981.671371
0.0053,4817.039785
0.00531,5071.684677
0.00532,4992.439516
0.00533,4859.521505
0.00534,4825.567473
0.00535,4926.930511
0.00536,4962.324731
0.00537,4945.182392
0.00538,4675.610081
0.00539,4507.938441
0.0054,4763.766935
0.00541,4502.382527
0.00542,4749.307527
0.00543,4512.443548
0.00544,4377.093145
0.00545,4543.671909
0.00546,4700.635215
0.00547,4270.582661
0.00548,4274.940054
0.00549,4294.354839
0.0055,3969.364785
0.00551,4589.861828
0.00552,4102.427151
0.00553,4262.347446
0.00554,4042.582392
0.00555,4006.698387
0.00556,4095.208737
0.00557,4196.792876
0.00558,3969.460753
0.00559,3870.295833
0.0056,4017.783199
0.00561,3809.25336
0.00562,3681.273925
0.00563,3851.160081
0.00564,3569.108333
0.00565,3701.531586
0.00566,3692.928091
0.00567,3909.979032
0.00568,3719.809812
0.00569,3508.471774
0.0057,3373.320027
0.00571,3634.718683
0.00572,3664.931452
0.00573,3294.196774
0.00574,3588.089516
0.00575,3434.060618
0.00576,3182.411559
0.00577,3421.106183
0.00578,3441.024328
