qnm,output_norm
0.00499,92407.6417
0.005,88881.96356
0.00501,95622.46964
0.00502,89294.02834
0.00503,88225.37449
0.00504,88256.97368
0.00505,87658.96761
0.00506,89230.76923
0.00507,87116.05668
0.00508,85872.47166
0.00509,85926.57692
0.0051,84333.24899
0.00511,82798.19231
0.00512,84649.47571
0.00513,90143.72672
0.00514,79703.58704
0.00515,80741.27733
0.00516,78930.15992
0.00517,79475.24089
0.00518,80038.7996
0.00519,78395.18623
0.0052,75739.45951
0.00521,79509.10931
0.00522,78549.74089
0.00523,77489.87854
0.00524,82176.78947
0.00525,75548.68826
0.00526,71385.19231
0.00527,73797.79555
0.00528,75689.52429
0.00529,72028.96154
0.0053,75245.61336
0.00531,70527.19636
0.00532,71589.06883
0.00533,70581.26316
0.00534,71117.61943
0.00535,71740.89069
0.00536,71116.12348
0.00537,67981.33198
0.00538,67501.12753
0.00539,68911.1417
0.0054,68887.82996
0.00541,71636.30162
0.00542,66345.10526
0.00543,66666.30972
0.00544,67684.8502
0.00545,69557.76923
0.00546,67613.26316
0.00547,63608.75911
0.00548,63943.31984
0.00549,65975.23279
0.0055,65381.24089
0.00551,63835.02024
0.00552,62799.74899
0.00553,62811.1498
0.00554,63621.55466
0.00555,61613.65182
0.00556,63150.18421
0.00557,63395.74899
0.00558,59982.64777
0.00559,61027.98988
0.0056,57589.16599
0.00561,62365.22267
0.00562,60625.14777
0.00563,57744.36235
0.00564,55929.24696
0.00565,57660.07085
0.00566,57411.9413
0.00567,54350.77935
0.00568,57244.07287
0.00569,55313.38866
0.0057,54063.76518
0.00571,54965.29555
0.00572,51203.00607
0.00573,54480.97368
0.00574,52828.94737
0.00575,51055.32996
0.00576,52287.44939
0.00577,54977.11741
0.00578,51956.52024
0.00579,50409.52834
0.0058,48776.49393
0.00581,52745.25304
0.00582,47405.33401
0.00583,49664.15385
0.00584,52779.67004
0.00585,51793.69636
0.00586,47420.90081
0.00587,45678.54251
0.00588,50237.39474
0.00589,49804.57895
0.0059,45267.49798
0.00591,46976.5749
0.00592,47597.62146
0.00593,46163.96761
0.00594,47152.18826
0.00595,44515.05061
0.00596,47300.94534
0.00597,43873.14372
0.00598,44722.98988
0.00599,42362.03036
0.006,43795.54656
0.00601,43839.71457
0.00602,42258.6417
0.00603,41792.81781
0.00604,43453.31579
0.00605,44545.45344
0.00606,42579.37449
0.00607,40121.45749
0.00608,41983.21255
0.00609,40856.2004
0.0061,40534.59717
0.00611,40596.68421
