Energy (eV),delta,beta
273.8999939,0.00127144,7.48E-05
274.1000061,0.001262595,7.59E-05
274.2999878,0.00125421,7.61E-05
274.5,0.001245285,7.55E-05
274.7000122,0.001235604,7.52E-05
274.8999939,0.001226866,7.58E-05
275.1000061,0.001217451,7.32E-05
275.2999878,0.001205917,7.24E-05
275.5,0.001194309,7.30E-05
275.7000122,0.001184649,7.52E-05
275.8999939,0.001176001,7.40E-05
276.1000061,0.00116494,7.18E-05
276.2999878,0.001152362,7.16E-05
276.5,0.001141172,7.35E-05
276.7000122,0.001132247,7.39E-05
276.8999939,0.001121062,7.01E-05
277.1000061,0.001107827,7.05E-05
277.2999878,0.001097263,7.14E-05
277.5,0.001086904,6.82E-05
277.7000122,0.001071526,6.31E-05
277.8999939,0.001055891,6.57E-05
278.1000061,0.001042651,6.47E-05
278.2999878,0.001027387,6.37E-05
278.5,0.001011365,6.43E-05
278.7000122,0.000996051,6.62E-05
278.8999939,0.000981813,6.79E-05
279.1000061,0.000967671,6.83E-05
279.2999878,0.000952541,6.82E-05
279.5,0.000937192,6.89E-05
279.7000122,0.000921069,6.83E-05
279.8999939,0.000904982,6.96E-05
280.1000061,0.000889397,6.86E-05
280.2999878,0.000871962,6.65E-05
280.5,0.000852106,6.45E-05
280.7000122,0.000832457,6.55E-05
280.8999939,0.000813156,6.32E-05
281.1000061,0.000789996,5.97E-05
281.2999878,0.000764555,5.97E-05
281.5,0.000739587,6.06E-05
281.7000122,0.000713897,6.06E-05
281.8999939,0.000686567,6.05E-05
282.1000061,0.000657592,5.99E-05
282.2999878,0.00062416,5.75E-05
282.5,0.000586245,5.90E-05
282.7000122,0.000547053,6.29E-05
282.8999939,0.000503152,6.53E-05
283.1000061,0.000455907,7.40E-05
283.2999878,0.000401445,7.72E-05
283.5,0.000331311,8.73E-05
283.7000122,0.000244588,0.000109235
283.8999939,0.000119811,0.000146802
284.1000061,-7.88E-05,0.000276861
284.2999878,-2.21E-05,0.000758273
284.5,0.000336192,0.000862809
284.7000122,0.000563859,0.000670142
284.8999939,0.000600619,0.000477454
285.1000061,0.000543103,0.000321313
285.2999878,0.000419007,0.000205584
285.5,0.000262534,0.000161162
285.7000122,9.85E-05,0.000151111
285.8999939,-9.98E-05,0.000164961
286.1000061,-0.000372223,0.0002518
286.2999878,-0.000603202,0.000579675
286.5,-0.000564433,0.001029927
286.7000122,-0.000358354,0.001235176
286.8999939,-0.000182112,0.00133528
287.1000061,-3.44E-05,0.001384525
287.2999878,0.000101444,0.001396655
287.5,0.000160746,0.001320677
287.7000122,8.52E-05,0.001317567
287.8999939,0.000151861,0.001582795
288.1000061,0.000408055,0.001603343
288.2999878,0.000542636,0.001427074
288.5,0.00050815,0.001295519
288.7000122,0.000436682,0.001287593
288.8999939,0.000400236,0.001322914
289.1000061,0.000391345,0.001374874
289.2999878,0.000421061,0.001440021
289.5,0.000476252,0.001466179
289.7000122,0.000518315,0.001466023
289.8999939,0.000543415,0.001471926
290.1000061,0.000601777,0.001503775
290.2999878,0.000674821,0.001453538
290.5,0.000699372,0.001362273
290.7000122,0.000608167,0.001233835
290.8999939,0.00043371,0.001263167
291.1000061,0.000351295,0.001440404
291.2999878,0.000391059,0.001582177
291.5,0.000461035,0.001654115
291.7000122,0.000515318,0.001699135
291.8999939,0.000588137,0.0017585
292.1000061,0.000647537,0.001744787
292.2999878,0.000674063,0.001773553
292.5,0.000741528,0.001823068
292.7000122,0.000824451,0.001805008
292.8999939,0.000842814,0.001753609
293.1000061,0.000856163,0.001789314
293.2999878,0.000883893,0.001781521
293.5,0.000920703,0.001821429
293.7000122,0.000975435,0.001811693
293.8999939,0.001004068,0.001802161
294.1000061,0.001057838,0.001822588
294.2999878,0.001089846,0.0017606
294.5,0.001090621,0.001770787
294.7000122,0.001114544,0.001775298
294.8999939,0.001158726,0.001786952
295.1000061,0.001184538,0.001743731
295.2999878,0.001190114,0.001752374
295.5,0.001220765,0.001760604
295.7000122,0.001271117,0.001755807
295.8999939,0.001285417,0.001693646
296.1000061,0.001267239,0.001698198
296.2999878,0.001282991,0.001724429
296.5,0.001322714,0.00173151
296.7000122,0.001361386,0.00171723
296.8999939,0.00138451,0.001694464
297.1000061,0.0014098,0.001688781
297.2999878,0.001433451,0.001659196
297.5,0.001449672,0.00164213
297.7000122,0.001456857,0.001609842
297.8999939,0.001453884,0.001599364
298.1000061,0.001456124,0.001594289
298.2999878,0.001470098,0.001596871
298.5,0.00147447,0.001575607
298.7000122,0.001489795,0.001596989
298.8999939,0.001512591,0.001568032
299.1000061,0.001507805,0.001556115
299.2999878,0.001517444,0.001574036
299.5,0.001545467,0.001573117
299.7000122,0.001579828,0.001567901
299.8999939,0.001619378,0.001538051
300.1000061,0.001622416,0.001471855
300.2999878,0.001592874,0.001449901
300.5,0.001570687,0.001452724
300.7000122,0.001569986,0.00147239
